epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8,1.45512968522,1.0,1.19209289551e-07
1,1.0,2.48553797064e-06,1.0,1.19209289551e-07
2,1.0,0.000127994373932,1.0,1.19209289551e-07
3,1.0,6.720792544e-06,1.0,1.19209289551e-07
4,1.0,1.19209289551e-07,1.0,1.19209289551e-07
5,1.0,1.31130221348e-07,1.0,1.19209289551e-07
6,1.0,1.60932559368e-07,1.0,1.19209289551e-07
